unique_id,agency_name
252,Orange County Sheriff's Office
251,Fayetteville Police Department
25953,U.S. Bureau of Alcohol Tobacco and Firearms
254,Chicago Police Department
255,Pasadena Police Department
253,Cobb County Sheriff's Office
256,Fresno Police Department
258,Woodbury Police Department
257,Gallatin County Sheriff's Office
22249,Rocky Mount Police Department
260,Boynton Beach Police Department
259,Jackson Police Department
261,McKinley County Sheriff's Office
262,Boise Police Department
265,
263,Baton Rouge Police Department
264,Tarpon Springs Police Department
268,Edgewater Police Department
269,Spartanburg County Sheriff's Office
267,Contra Costa County Sheriff's Office
266,Lincoln County Sheriff's Office
271,Stanislaus County Sheriff's Office
270,Talladega Police Department
272,"Dallas County Constable, Dallas Area Rapid Transit Police Department"
273,"Pleasanton Police Department, Alameda County District Attorney's Office"
274,"U.S. Drug Enforcement Administration, Dellwood Police Department"
276,"U.S. Drug Enforcement Administration, Dellwood Police Department"
275,Minneapolis Police Department
22599,Clarksville Police Department
19361,Trafford Police Department
277,Chicago State University Police Department
281,Los Angeles Police Department
278,Florence Police Department
279,Florence Police Department
280,Florence Police Department
282,Garland Police Department
283,Liberal Police Department
284,Chicago Police Department
19023,Corpus Christi Police Department
22598,Hardeman County Sheriff's Office
19376,Kentucky Vehicle Enforcement
285,Chicago Police Department
286,San Francisco Police Department
287,Columbus Division of Police
19362,Summit Hill Borough Police Department
288,Seattle Police Department
290,Carthage Police Department
289,Idaho Falls Police Department
291,Louisville Metro Police Department
293,Broward County Sheriff's Office
292,Bernalillo County Sheriff's Office
295,Tucson Police Department
294,Charlotte-Mecklenburg Police Department
21441,Maryland State Police
296,Lorain County Sheriff's Office
299,California Highway Patrol
297,Bloomington Police Department
298,Albuquerque Police Department
300,Beebe Police Department
301,Ludowici Police Department
302,Ludowici Police Department
303,Ludowici Police Department
305,Ludowici Police Department
304,San Jose Police Department
306,Charlack Police Department
307,Redding Police Department
309,San Jose Police Department
308,Conroe Police Department
310,Plymouth Police Department
21440,Maryland Transportation Authority Police
312,Oakland Police Department
313,Peoria Police Department
311,Bosque Farms Police Department
314,San Diego Police Department
23113,"Clarke County Sheriff's Office, Maryland State Police, West Virginia State Police"
315,"Akron Police Department, Summit County Sheriff's Office"
319,Los Angeles County Sheriff's Department
318,City of New York Police Department
316,"Akron Police Department, Summit County Sheriff's Office"
317,"Akron Police Department, Summit County Sheriff's Office"
320,Newton County Sheriff's Office
322,Haines City Police Department
21370,Berkeley Township Police Department
321,Seneca Police Department
324,Tulsa Police Department
22250,Richmond Police Department
323,Albuquerque Police Department
327,"Glendive Police Department, Dawson County Sheriff's Office"
325,Hall County Sheriff's Office
328,Las Vegas Metropolitan Police Department
20803,Oceana County Sheriff's Office
326,Elgin Police Department
330,Tempe Police Department
329,Fairfield Police Department
20091,Dane County Sheriff's Office
22251,Danville Police Department
331,Berwyn Police Department
332,"Georgia State Patrol, Georgia Bureau of Investigation"
22252,Norfolk Police Department
334,Killeen Police Department
335,San Francisco Police Department
333,Linn County Sheriff's Office
337,Sacramento County Sheriff's Office
336,El Paso Police Department
338,Chicago Police Department
19363,Philadelphia Police Department
342,Stockton Police Department
339,Omaha Police Department
340,Lexington County Sheriff's Department
20804,Dearborn Police Department
341,Monterey County Sheriff's Office
345,California Highway Patrol
346,California Highway Patrol
344,Chicago Police Department
343,Broward County Sheriff's Office
349,Los Angeles County Sheriff's Department
347,Sacramento County Sheriff's Office
348,Sacramento County Sheriff's Office
21856,Indianapolis Police Department
351,"Weld County Sheriff's Office, Greeley Police Department"
353,Hudson Police Department
352,Los Angeles Police Department
21439,Baltimore Police Department
20089,Orange County Sheriff's Office
20090,Orange County Sheriff's Office
354,Chicago Police Department
355,Richmond Police Department
30158,Culver City Police Department
30159,Culver City Police Department
356,Uniontown Police Department
358,Delray Beach Police Department
357,Georgia State Patrol
19364,Pittsburgh Bureau of Police
19365,Philadelphia Police Department
361,Rialto Police Department
359,Kansas City Police Department
360,San Diego Police Department
22253,Virginia State Police
363,Charlotte-Mecklenburg Police Department
364,Charlotte-Mecklenburg Police Department
362,Lubbock Police Department
365,Pine County Sheriff's Office
366,Bakersfield Police Department
367,Maine State Police
368,Merced County Sheriff's Office
21857,Indiana State Police
369,City of New York Police Department
21858,Indiana State Police
370,Flagstaff Police Department
30160,Culver City Police Department
22254,Suffolk Police Department
371,Sunnyvale Department of Public Safety
374,"Cook County Sheriff's Office, Countryside Police Department"
372,"Kinloch Police Department, Woodson Terrace Police Department"
373,"Kinloch Police Department, Woodson Terrace Police Department"
21371,Newark Police Department
375,Topeka Police Department
377,McDonough Police Department
580,King County Sheriff's Office
19375,U.S. Federal Bureau of Investigation
378,Minneapolis Police Department
379,Minneapolis Police Department
376,Macon Police Department
380,Harris County Sheriff's Office
381,Tunica County Sheriff's Office
382,City of New York Police Department
383,Randall County Sheriff's Office
385,Los Angeles County Sheriff's Department
386,Los Angeles County Sheriff's Department
384,East Baton Rouge Parish Sheriff's Office
388,Orange County Sheriff's Department
387,"U.S. Drug Enforcement Administration, U.S. Federal Bureau of Investigation, Jacksonville Police Department"
21372,Newark Police Department
21373,Newark Police Department
20088,Cleveland Police Department
389,San Francisco Police Department
390,Los Angeles Police Department
392,Chicago Police Department
391,St. Louis Metropolitan Police Department
394,Clinton Police Department
393,Illinois State Police
396,Muskogee Police Department
395,Sedgwick County Sheriff's Office
398,Prospect Heights Police Department
397,Oklahoma Highway Patrol
399,Minneapolis Police Department
400,Joplin Police Department
401,Hendry County Sheriff's Office
402,Florida Highway Patrol
403,Colorado Springs Police Department
404,Austell Police Department
407,Portland Police Bureau
406,St. Clair County Sheriff's Office
405,Lima Police Department
408,Merced County Sheriff's Office
409,Madera County Sheriff's Office
414,Los Angeles County Sheriff's Department
411,"Yukon Police Department, Mustang Police Department"
412,"Yukon Police Department, Mustang Police Department"
410,Delaware County Sheriff's Office
413,"Huntsville Police Department, U.S. Federal Bureau of Investigation"
415,Los Angeles Police Department
19366,Watsontown Police Department
416,Aurora Police Department
417,Honolulu Police Department
418,Honolulu Police Department
419,Columbus Division of Police
420,Columbus Division of Police
421,Hartford Police Department
20805,Lenawee County Sheriff's Office
426,Boulder County Sheriff's Office
423,Los Angeles County Sheriff's Department
425,Tempe Police Department
424,Detroit Police Department
422,Clark County Sheriff's Office
429,North Las Vegas Police Department
427,Omaha Police Department
428,Greenville Police Department
430,"Oklahoma Highway Patrol, Oklahoma City Police Department"
431,"Oklahoma Highway Patrol, Oklahoma City Police Department"
432,Houston Police Department
438,Los Angeles Police Department
436,Fort Lauderdale Police Department
433,Cincinnati Police Department
434,Benton Township Police Department
437,Prince George's County Sheriff's Office
19343,Camden Police Department
